ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34266917796.56,"Retail",10000000,34,60,"2024-05-31",0.0535,"2024-05-31",0,0,0,0,0.00326,0.23961,0.04178,0.05566,0.00552,0.31134,0,0,0.24026,0.04662,0,0.00614,0.00632,0.03975,0.00373,0,0.10093
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",33622796690.85,"Retail",10000000,31,55,"2024-04-30",0.0536,"2024-04-30",0,0,0,0,0.0033,0.24769,0.04579,0.05766,0.00975,0.31959,0,0,0.18726,0.07238,0,0.00798,0.00397,0.04058,0.00407,0,0.10798
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34230159701.52,"Retail",10000000,32,51,"2024-03-31",0.0539,"2024-03-31",0,0,0,0,0.00323,0.22569,0.02077,0.05484,0.00814,0.34455,0,0.01719,0.26846,0,0,0.00818,0.00643,0.03928,0.00323,0,0.10226
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",33644450849.76,"Retail",10000000,39,62,"2024-02-29",0.0542,"2024-02-29",0,0,0,0,0.00327,0.25384,0.03494,0.05447,0.01115,0.36008,0,0.10315,0.12338,0.00262,0,0.00929,0.00836,0.03218,0.00328,0,0.09779
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",32691924192.26,"Retail",10000000,39,65,"2024-01-31",0.0547,"2024-01-31",0,0,0,0,0.00335,0.2488,0.02828,0.05097,0.01088,0.39594,0,0.02095,0.14675,0.04041,0,0.00944,0.00822,0.03263,0.00338,0,0.09448
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",31311076050.9,"Retail",10000000,42,68,"2023-12-31",0.0552,"2023-12-31",0,0,0,0,0.00543,0.25065,0.01239,0.05354,0.01283,0.36884,0,0.1293,0.08252,0.02751,0,0.00988,0.00919,0.03437,0.00355,0,0.10074
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",29727889784.99,"Retail",10000000,41,73,"2023-11-30",0.0552,"2023-11-30",0,0,0,0,0.00557,0.26206,0.04893,0.04915,0.00933,0.37256,0,0.13205,0.03814,0.01155,0,0.01747,0.01292,0.03653,0.00373,0,0.09502
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",28302087975.42,"Retail",10000000,33,65,"2023-10-31",0.055,"2023-10-31",0,0,0,0,0.00581,0.24463,0.05148,0.04646,0.00807,0.36423,0,0.13819,0.03919,0.019,0,0.02752,0.01351,0.038,0.00392,0,0.09253
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",26575613985.55,"Retail",10000000,28,58,"2023-09-30",0.0548,"2023-09-30",0,0,0,0,0.00616,0.19377,0.0313,0.0485,0.00897,0.35914,0,0.14728,0.08564,0.02946,0,0.0442,0.0126,0.02606,0.00694,0,0.08353
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",24895910826.66,"Retail",10000000,24,61,"2023-08-31",0.0547,"2023-08-31",0,0,0,0,0.00174,0.20593,0.04079,0.04866,0.01022,0.35524,0,0.15689,0.0815,0,0,0.04623,0.01882,0.02777,0.00621,0,0.08665
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",23114621679.61,"Retail",10000000,24,58,"2023-07-31",0.0538,"2023-07-31",0,0,0,0,0.00184,0.18117,0.04231,0.04861,0.01232,0.36961,0,0.16673,0.05411,0,0,0.06585,0.01878,0.03008,0.0086,0,0.09101
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",21584313474.08,"Retail",10000000,23,55,"2023-06-30",0.0523,"2023-06-30",0.00904,0,0,0,0.00199,0.14053,0.0328,0.04884,0.00609,0.34432,0,0.18099,0.08856,0,0,0.07959,0.02134,0.03273,0.01319,0.00904,0.08766
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",19973516917.49,"Retail",10000000,15,51,"2023-05-31",0.052,"2023-05-31",0,0,0,0,0,0.13162,0.05078,0.04491,0.00513,0.30801,0,0.19531,0.10154,0,0,0.11211,0.00704,0.02932,0.01423,0,0.07935
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",18237917728.29,"Retail",10000000,10,48,"2023-04-30",0.0492,"2023-04-30",0,0,0,0,0,0.12417,0.04752,0.04968,0.00347,0.23292,0,0.24027,0.11047,0.00454,0,0.12812,0.01164,0.03165,0.01556,0,0.0848
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",17221215549.21,"Retail",10000000,9,49,"2023-03-31",0.049,"2023-03-31",0,0,0,0,0,0.11394,0.05423,0.04452,0.00564,0.19258,0,0.28243,0.11898,0,0,0.13692,0.01004,0.02426,0.01646,0,0.07442
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",16628492687.76,"Retail",10000000,10,63,"2023-02-28",0.047,"2023-02-28",0,0,0,0,0,0.14315,0.06675,0.04253,0.02318,0.22963,0,0,0.11689,0.0565,0,0.18746,0.06547,0.03458,0.03386,0,0.10029
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",14716638569.52,"Retail",10000000,7,60,"2023-01-31",0.0449,"2023-01-31",0,0,0,0,0.01907,0.13964,0.05462,0.04788,0.01558,0.23045,0,0,0.15626,0,0,0.18179,0.07801,0.03924,0.03747,0,0.1027
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",12464113603.78,"Retail",10000000,10,45,"2022-12-31",0.0446,"2022-12-31",0,0,0,0,0,0.13128,0.04832,0.05828,0.01139,0.24941,0,0,0.25992,0,0,0.12078,0.0509,0.03923,0.03048,0,0.1089
