ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",92617942857.93,"Institutional",3000,15,46,"2022-11-30",0.0371,"2022-11-30",0.12641,0.36328,0,0,0,0,0,0,0,0,0,0.50392,0,0,0,0,0,0,0.00638,0.48969
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",91620501001.43,"Institutional",3000,11,49,"2022-10-31",0.0296,"2022-10-31",0.07105,0.37098,0,0,0,0,0,0,0,0,0,0.55797,0,0,0,0,0,0,0,0.44203
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",89083246438.89,"Institutional",3000,14,50,"2022-09-30",0.0279,"2022-09-30",0.10497,0.3616,0,0,0,0,0,0,0,0,0,0.53343,0,0,0,0,0,0,0,0.46657
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",88414988603.49,"Institutional",3000,18,48,"2022-08-31",0.0217,"2022-08-31",0.11595,0.32356,0,0,0,0,0,0,0,0,0,0.56049,0,0,0,0,0,0,0,0.43951
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",88482907168,"Institutional",3000,23,55,"2022-07-31",0.0183,"2022-07-31",0.12304,0.33519,0,0,0,0,0,0,0,0,0,0.54177,0,0,0,0,0,0,0,0.45823
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",87935522823.72,"Institutional",3000,28,51,"2022-06-30",0.0137,"2022-06-30",0.18788,0.3303,0,0,0,0,0,0,0,0,0,0.48182,0,0,0,0,0,0,0,0.51818
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",87705726335.82,"Institutional",3000,22,52,"2022-05-31",0.0068,"2022-05-31",0.23746,0.32552,0,0,0,0,0,0,0,0,0,0.43701,0,0,0,0,0,0,0,0.56299
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",87964721814,"Institutional",3000,27,62,"2022-04-30",0.0027,"2022-04-30",0.27453,0.34448,0,0,0,0,0,0,0,0,0,0.38099,0,0,0,0,0,0,0,0.61901
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",89724138381.71,"Institutional",3000,27,64,"2022-03-31",0.0017,"2022-03-31",0.31801,0.35644,0,0,0,0,0,0,0,0,0,0.32555,0,0,0,0,0,0,0,0.67445
"VMRXX","parse-MFP-files.sh","Vanguard Money Market Reserves","Vanguard Cash Reserves Federal Money Market Fund","Admiral Shares",0,"0831","Government",90709786869.25,"Institutional",3000,34,71,"2022-02-28",0.0001,"2022-02-28",0.3062,0.36622,0,0,0,0,0,0,0,0,0,0.32758,0,0,0,0,0,0,0,0.67242
